Date / Time,CPU Usage %,Temperature C
2022-05-10 22:58:53.462438,21.2,60.7
2022-05-10 22:59:03.700427,21.4,61.8
2022-05-10 22:59:13.913903,25.7,61.2
2022-05-10 22:59:24.150299,25.3,61.2
2022-05-10 22:59:34.458062,23.8,60.7
2022-05-10 22:59:44.675951,26.3,61.8
2022-05-10 22:59:54.982479,15.7,60.7
2022-05-10 23:00:05.192452,26.5,61.2
2022-05-10 23:00:15.412467,26.5,61.8
2022-05-10 23:00:25.612482,26.7,62.3
2022-05-10 23:00:35.842451,27.3,61.8
2022-05-10 23:00:46.051043,12.2,60.1
2022-05-10 23:00:56.278849,0.5,60.1
2022-05-10 23:01:06.498292,0.6,59.6
2022-05-10 23:01:16.737104,0.8,59.1
2022-05-10 23:01:27.081101,0.5,58.5
2022-05-10 23:01:37.303902,1.7,59.1
2022-05-10 23:01:47.617684,0.8,58.5
2022-05-10 23:01:57.867785,4.5,59.1
2022-05-10 23:02:08.089714,0.5,58
2022-05-10 23:02:18.317973,0.9,58
2022-05-10 23:02:28.631273,0.5,58
2022-05-10 23:02:38.864439,0.5,58
2022-05-10 23:02:49.094205,0.4,58
2022-05-10 23:02:59.352588,0.4,58
2022-05-10 23:03:09.594798,0.3,56.9
2022-05-10 23:03:19.845744,0.5,58
2022-05-10 23:03:30.071266,0.4,56.9
2022-05-10 23:03:40.291922,0.9,56.9
2022-05-10 23:03:50.506708,0.4,58
2022-05-10 23:04:00.860329,0.6,58
2022-05-10 23:04:11.089706,0.5,57.5
2022-05-10 23:04:21.321187,0.4,56.9
2022-05-10 23:04:31.540953,0.4,57.5
2022-05-10 23:04:41.769653,0.5,56.9
2022-05-10 23:04:52.103615,0.4,58
2022-05-10 23:05:02.346205,0.5,57.5
2022-05-10 23:05:12.612893,0.4,56.9
2022-05-10 23:05:22.869077,0.4,56.4
2022-05-10 23:05:33.094214,0.5,56.9
2022-05-10 23:05:43.320973,0.4,56.9
2022-05-10 23:05:53.541455,0.7,56.9
2022-05-10 23:06:03.815572,0.4,56.9
2022-05-10 23:06:14.042869,0.4,56.4
2022-05-10 23:06:24.286780,0.4,56.4
2022-05-10 23:06:34.507232,0.5,56.4
2022-05-10 23:06:44.750069,0.3,56.9
2022-05-10 23:06:54.970309,0.4,56.4
2022-05-10 23:07:05.217839,0.4,56.4
2022-05-10 23:07:15.457343,0.4,56.4
2022-05-10 23:07:25.685986,0.4,56.4
2022-05-10 23:07:35.992133,0.4,56.9
2022-05-10 23:07:46.306472,0.4,56.4
2022-05-10 23:07:56.525178,0.5,56.9
2022-05-10 23:08:06.793574,0.5,56.9
2022-05-10 23:08:17.020631,1.2,56.9
2022-05-10 23:08:27.260687,0.3,56.4
2022-05-10 23:08:37.484578,0.4,55.8
2022-05-10 23:08:47.796855,0.4,56.4
2022-05-10 23:08:58.226899,0.5,55.8
2022-05-10 23:09:08.549441,0.5,56.4
2022-05-10 23:09:18.773479,0.4,55.8
2022-05-10 23:09:29.002254,0.5,55.8
2022-05-10 23:09:39.322580,0.2,55.8
2022-05-10 23:09:49.650248,0.4,55.8
2022-05-10 23:09:59.875685,0.5,55.8
2022-05-10 23:10:10.295412,0.5,56.4
2022-05-10 23:10:20.549191,1.8,56.4
2022-05-10 23:10:30.780920,0.7,56.4
2022-05-10 23:10:40.999352,1.1,56.4
2022-05-10 23:10:51.223193,0.7,56.4
